NAME OF RESTAURANT,CITY,COUNTRY CODE,DAY OF WEEK,START TIME HOUR,START TIME MINUTE,END TIME HOUR,END TIME MINUTE
1 Abercrombie Lane,Sydney,AU,0,07,30,15,30
1 Abercrombie Lane,Sydney,AU,1,07,30,15,30
1 Abercrombie Lane,Sydney,AU,2,07,30,15,30
1 Abercrombie Lane,Sydney,AU,3,07,30,15,30
1 Abercrombie Lane,Sydney,AU,4,07,30,15,30
#1 Chicken Rice & Seafood,Houston,US,0,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,1,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,2,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,3,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,4,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,5,10,30,20,00
#1 Chinese Kitchen,San Jose,US,0,11,00,21,00
#1 Chinese Kitchen,San Jose,US,2,11,00,21,00
#1 Chinese Kitchen,San Jose,US,3,11,00,21,00
#1 Chinese Kitchen,San Jose,US,4,11,00,21,00
#1 Chinese Kitchen,San Jose,US,5,11,00,21,00
#1 Chinese Kitchen,San Jose,US,6,11,00,21,00
10' Custom Pizzeria,Braddon,AU,0,11,30,15,00
10' Custom Pizzeria,Braddon,AU,0,17,30,00,00
10' Custom Pizzeria,Braddon,AU,1,11,30,15,00
10' Custom Pizzeria,Braddon,AU,1,17,30,00,00
10' Custom Pizzeria,Braddon,AU,2,11,30,15,00
10' Custom Pizzeria,Braddon,AU,2,17,30,00,00
10' Custom Pizzeria,Braddon,AU,3,11,30,15,00
10' Custom Pizzeria,Braddon,AU,3,17,30,00,00
10' Custom Pizzeria,Braddon,AU,4,11,30,15,00
10' Custom Pizzeria,Braddon,AU,4,17,30,00,00
10' Custom Pizzeria,Braddon,AU,5,11,30,15,00
10' Custom Pizzeria,Braddon,AU,5,17,30,00,00
10' Custom Pizzeria,Braddon,AU,6,11,30,15,00
10' Custom Pizzeria,Braddon,AU,6,17,30,00,00
10 Greek Street,London,GB,0,12,00,23,30
10 Greek Street,London,GB,1,12,00,23,30
10 Greek Street,London,GB,2,12,00,23,30
10 Greek Street,London,GB,3,12,00,23,30
10 Greek Street,London,GB,4,12,00,23,30
10 Greek Street,London,GB,5,12,00,23,30
10 Greek Street,London,GB,6,17,30,23,00
100% de Agave,Denver,US,0,11,00,22,00
100% de Agave,Denver,US,1,11,00,22,00
100% de Agave,Denver,US,2,11,00,22,00
100% de Agave,Denver,US,3,11,00,22,00
100% de Agave,Denver,US,4,11,00,23,00
100% de Agave,Denver,US,5,11,00,23,00
100% de Agave,Denver,US,6,11,00,22,00
100 Hoxton,London,GB,1,11,00,00,00
100 Hoxton,London,GB,2,11,00,00,00
100 Hoxton,London,GB,3,11,00,00,00
100 Hoxton,London,GB,4,11,00,00,00
100 Hoxton,London,GB,5,11,00,00,00
100 Hoxton,London,GB,6,11,00,00,00
11 Inch Pizza,Melbourne,AU,0,11,00,21,30
11 Inch Pizza,Melbourne,AU,1,11,00,21,30
11 Inch Pizza,Melbourne,AU,2,11,00,21,30
11 Inch Pizza,Melbourne,AU,3,11,00,21,30
11 Inch Pizza,Melbourne,AU,4,11,00,21,30
11 Inch Pizza,Melbourne,AU,5,16,30,21,30
11 Inch Pizza,Melbourne,AU,6,16,30,21,30
111 by Nico,Glasgow,GB,1,12,00,14,30
111 by Nico,Glasgow,GB,1,17,00,22,00
111 by Nico,Glasgow,GB,2,12,00,14,30
111 by Nico,Glasgow,GB,2,17,00,22,00
111 by Nico,Glasgow,GB,3,12,00,14,30
111 by Nico,Glasgow,GB,3,17,00,22,00
111 by Nico,Glasgow,GB,4,12,00,14,30
111 by Nico,Glasgow,GB,4,17,00,22,00
111 by Nico,Glasgow,GB,5,12,00,22,00
111 by Nico,Glasgow,GB,6,12,00,21,00
127 Bar and Bistro,Brisbane,AU,0,06,30,21,00
127 Bar and Bistro,Brisbane,AU,1,06,30,21,00
127 Bar and Bistro,Brisbane,AU,2,06,30,21,00
127 Bar and Bistro,Brisbane,AU,3,06,30,21,00
127 Bar and Bistro,Brisbane,AU,4,06,30,21,00
127 Bar and Bistro,Brisbane,AU,5,07,00,11,00
127 Bar and Bistro,Brisbane,AU,5,15,00,21,00
127 Bar and Bistro,Brisbane,AU,6,07,00,11,00
13 North Grille,Phoenix,US,0,11,00,21,00
13 North Grille,Phoenix,US,1,11,00,21,00
13 North Grille,Phoenix,US,2,11,00,21,00
13 North Grille,Phoenix,US,3,11,00,21,00
13 North Grille,Phoenix,US,4,11,00,22,00
13 North Grille,Phoenix,US,5,08,30,22,00
13 North Grille,Phoenix,US,6,08,30,21,00
13th Note,Glasgow,GB,0,12,00,00,00
13th Note,Glasgow,GB,1,12,00,00,00
13th Note,Glasgow,GB,2,12,00,00,00
13th Note,Glasgow,GB,3,12,00,00,00
13th Note,Glasgow,GB,4,12,00,00,00
13th Note,Glasgow,GB,5,12,00,00,00
13th Note,Glasgow,GB,6,12,00,00,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,0,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,1,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,2,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,3,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,4,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,5,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,6,08,00,22,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,0,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,1,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,2,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,3,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,4,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,5,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,6,07,30,19,30
1760,San Francisco,US,0,17,00,22,00
1760,San Francisco,US,1,17,00,22,00
1760,San Francisco,US,2,17,00,22,00
1760,San Francisco,US,3,17,00,22,00
1760,San Francisco,US,4,17,00,23,00
1760,San Francisco,US,5,11,00,14,30
1760,San Francisco,US,5,17,00,23,00
1760,San Francisco,US,6,11,00,14,30
1760,San Francisco,US,6,17,00,22,00
1806,Melbourne,AU,0,17,00,01,00
1806,Melbourne,AU,1,17,00,01,00
1806,Melbourne,AU,2,17,00,01,00
1806,Melbourne,AU,3,17,00,01,00
1806,Melbourne,AU,4,16,00,01,00
1806,Melbourne,AU,5,17,00,03,00
1806,Melbourne,AU,6,18,00,01,00
1907 Restaurant,Perth,AU,1,11,00,15,00
1907 Restaurant,Perth,AU,1,18,00,00,00
1907 Restaurant,Perth,AU,2,11,00,15,00
1907 Restaurant,Perth,AU,2,18,00,00,00
1907 Restaurant,Perth,AU,3,11,00,15,00
1907 Restaurant,Perth,AU,3,18,00,00,00
1907 Restaurant,Perth,AU,4,11,00,15,00
1907 Restaurant,Perth,AU,4,18,00,00,00
1907 Restaurant,Perth,AU,5,11,00,15,00
1907 Restaurant,Perth,AU,5,18,00,00,00
1912 Dining Bar,Sydney,AU,0,16,00,00,00
1912 Dining Bar,Sydney,AU,1,16,00,00,00
1912 Dining Bar,Sydney,AU,2,16,00,00,00
1912 Dining Bar,Sydney,AU,3,16,00,00,00
1912 Dining Bar,Sydney,AU,4,16,00,00,00
1912 Dining Bar,Sydney,AU,5,16,00,00,00
1917 American Bistro,Detroit,US,0,10,00,23,00
1917 American Bistro,Detroit,US,1,10,00,23,00
1917 American Bistro,Detroit,US,2,10,00,23,00
1917 American Bistro,Detroit,US,3,10,00,23,00
1917 American Bistro,Detroit,US,4,10,00,23,00
1917 American Bistro,Detroit,US,5,10,00,23,00
1917 American Bistro,Detroit,US,6,10,00,20,00
2 Amys Neapolitan Pizzeria,Washington,US,0,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,1,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,2,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,3,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,4,11,00,23,00
2 Amys Neapolitan Pizzeria,Washington,US,5,11,00,23,00
2 Amys Neapolitan Pizzeria,Washington,US,6,12,00,22,00
20 Spot,San Francisco,US,0,17,00,01,00
20 Spot,San Francisco,US,1,17,00,01,00
20 Spot,San Francisco,US,2,17,00,01,00
20 Spot,San Francisco,US,3,17,00,01,00
20 Spot,San Francisco,US,4,17,00,01,00
20 Spot,San Francisco,US,5,17,00,01,00
204 North Kitchen & Cocktails,Charlotte,US,0,11,00,00,00
204 North Kitchen & Cocktails,Charlotte,US,1,11,00,00,00
204 North Kitchen & Cocktails,Charlotte,US,2,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,US,3,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,US,4,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,US,5,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,US,6,11,00,00,00
20th Street Café,Denver,US,1,06,30,14,30
20th Street Café,Denver,US,2,06,30,14,30
20th Street Café,Denver,US,3,06,30,14,30
20th Street Café,Denver,US,4,06,30,14,30
20th Street Café,Denver,US,5,07,00,13,30
20th Street Café,Denver,US,6,07,00,13,30
21 Shanghai House,New York,US,0,11,00,21,30
21 Shanghai House,New York,US,1,11,00,21,30
21 Shanghai House,New York,US,2,11,00,21,30
21 Shanghai House,New York,US,3,11,00,21,30
21 Shanghai House,New York,US,4,11,00,22,00
21 Shanghai House,New York,US,5,11,00,22,00
21 Shanghai House,New York,US,6,11,00,21,30
24grille,Detroit,US,0,11,00,00,00
24grille,Detroit,US,1,11,00,00,00
24grille,Detroit,US,2,11,00,00,00
24grille,Detroit,US,3,11,00,00,00
24grille,Detroit,US,4,11,00,02,00
24grille,Detroit,US,5,11,00,02,00
24grille,Detroit,US,6,11,00,22,00
259 Cafe,Perth,AU,0,10,00,15,00
259 Cafe,Perth,AU,2,10,00,15,00
259 Cafe,Perth,AU,3,10,00,15,00
259 Cafe,Perth,AU,4,10,00,15,00
259 Cafe,Perth,AU,5,09,00,15,00
259 Cafe,Perth,AU,6,09,00,15,00
26 grains,London,GB,0,08,00,18,00
26 grains,London,GB,1,08,00,18,00
26 grains,London,GB,2,08,00,18,00
26 grains,London,GB,3,08,00,18,00
26 grains,London,GB,4,08,00,17,00
26 grains,London,GB,5,10,00,16,00
26 grains,London,GB,6,10,00,16,00
2nd City,New York,US,0,11,00,23,00
2nd City,New York,US,1,11,00,23,00
2nd City,New York,US,2,11,00,23,00
2nd City,New York,US,3,11,00,23,00
2nd City,New York,US,4,11,00,23,00
2nd City,New York,US,5,11,00,23,00
2nd City,New York,US,6,11,00,23,00
3 Arts Club Cafe,Chicago,US,0,10,00,20,00
3 Arts Club Cafe,Chicago,US,1,10,00,20,00
3 Arts Club Cafe,Chicago,US,2,10,00,20,00
3 Arts Club Cafe,Chicago,US,3,10,00,20,00
3 Arts Club Cafe,Chicago,US,4,10,00,20,00
3 Arts Club Cafe,Chicago,US,5,10,00,20,00
3 Arts Club Cafe,Chicago,US,6,11,00,18,00
3 Bro's Kabab House,Houston,US,0,11,00,22,00
3 Bro's Kabab House,Houston,US,1,11,00,22,00
3 Bro's Kabab House,Houston,US,2,11,00,22,00
3 Bro's Kabab House,Houston,US,3,11,00,22,00
3 Bro's Kabab House,Houston,US,4,14,00,22,00
3 Bro's Kabab House,Houston,US,5,11,00,22,00
3 Bro's Kabab House,Houston,US,6,11,00,22,00
3 Greeks Grill,Long Island City,US,0,11,00,22,00
3 Greeks Grill,Long Island City,US,1,11,00,22,00
3 Greeks Grill,Long Island City,US,2,11,00,22,00
3 Greeks Grill,Long Island City,US,3,11,00,22,00
3 Greeks Grill,Long Island City,US,4,11,00,22,00
3 Greeks Grill,Long Island City,US,5,11,00,22,00
3 Greeks Grill,Long Island City,US,6,11,00,21,00
3 Wise Monkeys Pub,Sydney,AU,0,10,00,04,00
3 Wise Monkeys Pub,Sydney,AU,1,10,00,04,00
3 Wise Monkeys Pub,Sydney,AU,2,10,00,04,00
3 Wise Monkeys Pub,Sydney,AU,3,10,00,04,00
3 Wise Monkeys Pub,Sydney,AU,4,10,00,05,00
3 Wise Monkeys Pub,Sydney,AU,5,10,00,05,00
3 Wise Monkeys Pub,Sydney,AU,6,10,00,04,00
32 Shea,Phoenix,US,0,06,00,22,00
32 Shea,Phoenix,US,1,06,00,22,00
32 Shea,Phoenix,US,2,06,00,22,00
32 Shea,Phoenix,US,3,06,00,22,00
32 Shea,Phoenix,US,4,06,00,22,00
32 Shea,Phoenix,US,5,07,00,22,00
32 Shea,Phoenix,US,6,07,00,14,00
360 Bar and Restaurant,Sydney,AU,0,12,00,14,30
360 Bar and Restaurant,Sydney,AU,0,16,30,23,00
360 Bar and Restaurant,Sydney,AU,1,12,00,14,30
360 Bar and Restaurant,Sydney,AU,1,16,30,23,00
360 Bar and Restaurant,Sydney,AU,2,12,00,14,30
360 Bar and Restaurant,Sydney,AU,2,16,30,23,00
360 Bar and Restaurant,Sydney,AU,3,12,00,14,30
360 Bar and Restaurant,Sydney,AU,3,16,30,23,00
360 Bar and Restaurant,Sydney,AU,4,12,00,14,30
360 Bar and Restaurant,Sydney,AU,4,16,30,00,00
360 Bar and Restaurant,Sydney,AU,5,16,30,00,00
360 Bar and Restaurant,Sydney,AU,6,16,30,00,00
38 Espresso,Kingston,AU,0,07,00,15,00
38 Espresso,Kingston,AU,1,07,00,15,00
38 Espresso,Kingston,AU,2,07,00,15,00
38 Espresso,Kingston,AU,3,07,00,15,00
38 Espresso,Kingston,AU,4,07,00,15,00
38 Espresso,Kingston,AU,5,07,00,15,00
38 Espresso,Kingston,AU,6,08,00,15,00
+39 Pizzeria,Melbourne,AU,0,12,00,15,00
+39 Pizzeria,Melbourne,AU,0,17,00,21,30
+39 Pizzeria,Melbourne,AU,1,12,00,15,00
+39 Pizzeria,Melbourne,AU,1,17,00,21,30
+39 Pizzeria,Melbourne,AU,2,12,00,15,00
+39 Pizzeria,Melbourne,AU,2,17,00,21,30
+39 Pizzeria,Melbourne,AU,3,12,00,15,00
+39 Pizzeria,Melbourne,AU,3,17,00,21,30
+39 Pizzeria,Melbourne,AU,4,12,00,22,00
+39 Pizzeria,Melbourne,AU,5,12,00,22,00
+39 Pizzeria,Melbourne,AU,6,12,00,21,30
3rd Cousin,San Francisco,US,1,17,30,22,00
3rd Cousin,San Francisco,US,2,17,30,22,00
3rd Cousin,San Francisco,US,3,17,30,22,00
3rd Cousin,San Francisco,US,4,17,30,22,00
3rd Cousin,San Francisco,US,5,17,30,22,00
45 Jermyn St,London,GB,0,07,00,23,30
45 Jermyn St,London,GB,1,07,00,23,30
45 Jermyn St,London,GB,2,07,00,23,30
45 Jermyn St,London,GB,3,07,00,23,30
45 Jermyn St,London,GB,4,07,00,23,30
45 Jermyn St,London,GB,5,08,00,23,30
45 Jermyn St,London,GB,6,08,00,18,00
4Fourteen,Surry Hills,AU,1,12,00,15,00
4Fourteen,Surry Hills,AU,1,18,00,00,00
4Fourteen,Surry Hills,AU,2,12,00,15,00
4Fourteen,Surry Hills,AU,2,18,00,00,00
4Fourteen,Surry Hills,AU,3,12,00,15,00
4Fourteen,Surry Hills,AU,3,18,00,00,00
4Fourteen,Surry Hills,AU,4,12,00,15,00
4Fourteen,Surry Hills,AU,4,18,00,00,00
4Fourteen,Surry Hills,AU,5,12,00,15,00
4Fourteen,Surry Hills,AU,5,18,00,00,00
4Fourteen,Surry Hills,AU,6,12,00,18,00
5 & Dime Bagels,Melbourne,AU,0,07,00,14,30
5 & Dime Bagels,Melbourne,AU,1,07,00,14,30
5 & Dime Bagels,Melbourne,AU,2,07,00,14,30
5 & Dime Bagels,Melbourne,AU,3,07,00,14,30
5 & Dime Bagels,Melbourne,AU,4,07,00,14,30
5 Boroughs,Brisbane,AU,0,11,00,21,00
5 Boroughs,Brisbane,AU,1,11,00,21,00
5 Boroughs,Brisbane,AU,2,11,00,21,00
5 Boroughs,Brisbane,AU,3,11,00,21,00
5 Boroughs,Brisbane,AU,4,11,00,22,00
5 Boroughs,Brisbane,AU,5,11,00,22,00
5 Boroughs,Brisbane,AU,6,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,1,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,2,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,3,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,4,11,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,5,09,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,6,09,00,21,00
5 Spices House,Boston,US,0,11,00,23,00
5 Spices House,Boston,US,1,11,00,23,00
5 Spices House,Boston,US,2,11,00,23,00
5 Spices House,Boston,US,3,11,00,23,00
5 Spices House,Boston,US,4,11,00,00,00
5 Spices House,Boston,US,5,11,00,00,00
5 Spices House,Boston,US,6,11,00,00,00
5 Spot,Seattle,US,0,08,00,23,00
5 Spot,Seattle,US,1,08,00,23,00
5 Spot,Seattle,US,2,08,00,23,00
5 Spot,Seattle,US,3,08,00,23,00
5 Spot,Seattle,US,4,08,00,23,00
5 Spot,Seattle,US,5,08,00,15,00
5 Spot,Seattle,US,5,17,00,00,00
5 Spot,Seattle,US,6,08,00,15,00
5 Spot,Seattle,US,6,17,00,00,00
500 Degrees New York Style Pizzeria,Charlotte,US,0,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,US,1,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,US,2,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,US,3,11,00,21,00
500 Degrees New York Style Pizzeria,Charlotte,US,4,11,00,23,00
500 Degrees New York Style Pizzeria,Charlotte,US,5,11,00,22,00
50's Diner Omelet House,Las Vegas,US,0,07,00,21,00
50's Diner Omelet House,Las Vegas,US,1,07,00,21,00
50's Diner Omelet House,Las Vegas,US,2,07,00,21,00
50's Diner Omelet House,Las Vegas,US,3,07,00,21,00
50's Diner Omelet House,Las Vegas,US,4,07,00,21,00
50's Diner Omelet House,Las Vegas,US,5,07,00,21,00
50's Diner Omelet House,Las Vegas,US,6,07,00,15,00
5280 Burger Bar,Denver,US,0,11,00,22,00
5280 Burger Bar,Denver,US,1,11,00,22,00
5280 Burger Bar,Denver,US,2,11,00,22,00
5280 Burger Bar,Denver,US,3,11,00,22,00
5280 Burger Bar,Denver,US,4,11,00,23,00
5280 Burger Bar,Denver,US,5,11,00,23,00
5280 Burger Bar,Denver,US,6,11,00,22,00
5280 Sliders,Denver,US,0,15,00,22,00
5280 Sliders,Denver,US,1,15,00,22,00
5280 Sliders,Denver,US,2,15,00,22,00
5280 Sliders,Denver,US,3,15,00,22,00
5280 Sliders,Denver,US,4,15,00,00,00
5280 Sliders,Denver,US,5,14,00,00,00
5280 Sliders,Denver,US,6,14,00,22,00
580 Bench,Melbourne,AU,0,07,00,16,00
580 Bench,Melbourne,AU,1,07,00,16,00
580 Bench,Melbourne,AU,2,07,00,16,00
580 Bench,Melbourne,AU,3,07,00,16,00
580 Bench,Melbourne,AU,4,07,00,16,00
5Church,Charlotte,US,0,11,00,22,00
5Church,Charlotte,US,1,11,00,22,00
5Church,Charlotte,US,2,11,00,22,00
5Church,Charlotte,US,3,11,00,23,00
5Church,Charlotte,US,4,11,00,02,00
5Church,Charlotte,US,5,11,00,02,00
5Church,Charlotte,US,6,10,00,22,00
62 Rokujuni,Sydney,AU,0,11,00,15,00
62 Rokujuni,Sydney,AU,0,18,00,21,00
62 Rokujuni,Sydney,AU,1,11,00,15,00
62 Rokujuni,Sydney,AU,1,18,00,21,00
62 Rokujuni,Sydney,AU,2,11,00,15,00
62 Rokujuni,Sydney,AU,2,18,00,21,00
62 Rokujuni,Sydney,AU,3,11,00,15,00
62 Rokujuni,Sydney,AU,3,18,00,21,00
62 Rokujuni,Sydney,AU,4,11,00,15,00
62 Rokujuni,Sydney,AU,4,18,00,21,00
678 Korean Bbq,Sydney,AU,0,11,00,00,00
678 Korean Bbq,Sydney,AU,1,11,00,00,00
678 Korean Bbq,Sydney,AU,2,11,00,00,00
678 Korean Bbq,Sydney,AU,3,11,00,00,00
678 Korean Bbq,Sydney,AU,4,11,00,00,00
678 Korean Bbq,Sydney,AU,5,11,00,00,00
678 Korean Bbq,Sydney,AU,6,11,00,00,00
6th Avenue Eats,Seattle,US,0,11,00,14,00
6th Avenue Eats,Seattle,US,1,11,00,14,00
6th Avenue Eats,Seattle,US,2,11,00,14,00
6th Avenue Eats,Seattle,US,3,11,00,14,00
6th Avenue Eats,Seattle,US,4,11,00,14,00
7 Leguas Mexican Grille,Denver,US,0,10,00,22,00
7 Leguas Mexican Grille,Denver,US,1,10,00,22,00
7 Leguas Mexican Grille,Denver,US,2,10,00,22,00
7 Leguas Mexican Grille,Denver,US,3,10,00,22,00
7 Leguas Mexican Grille,Denver,US,4,10,00,00,00
7 Leguas Mexican Grille,Denver,US,5,10,00,00,00
7 Leguas Mexican Grille,Denver,US,6,09,00,22,00
7 Leguas Mexican Grille,Denver,US,0,10,00,22,00
7 Leguas Mexican Grille,Denver,US,1,10,00,22,00
7 Leguas Mexican Grille,Denver,US,2,10,00,22,00
7 Leguas Mexican Grille,Denver,US,3,10,00,22,00
7 Leguas Mexican Grille,Denver,US,4,10,00,02,00
7 Leguas Mexican Grille,Denver,US,5,09,00,02,00
7 Leguas Mexican Grille,Denver,US,6,09,00,22,00
75 on Liberty Wharf,Boston,US,0,11,30,00,00
75 on Liberty Wharf,Boston,US,1,11,30,00,00
75 on Liberty Wharf,Boston,US,2,11,30,00,00
75 on Liberty Wharf,Boston,US,3,11,30,00,00
75 on Liberty Wharf,Boston,US,4,11,30,02,00
75 on Liberty Wharf,Boston,US,5,10,30,02,00
75 on Liberty Wharf,Boston,US,6,10,00,00,00
7th & Bake Patisserie Cafe,Canberra,AU,0,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,AU,1,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,AU,2,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,AU,3,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,AU,4,06,30,16,00
7th & Bake Patisserie Cafe,Canberra,AU,5,07,30,17,00
7th & Bake Patisserie Cafe,Canberra,AU,6,07,30,17,00
7th District,Charlotte,US,0,16,00,23,00
7th District,Charlotte,US,1,16,00,23,00
7th District,Charlotte,US,2,16,00,23,00
7th District,Charlotte,US,3,16,00,23,00
7th District,Charlotte,US,4,16,00,02,00
7th District,Charlotte,US,5,14,00,02,00
7th District,Charlotte,US,6,11,00,16,00
8 Hoxton Square,London,GB,0,12,00,23,00
8 Hoxton Square,London,GB,1,12,00,23,00
8 Hoxton Square,London,GB,2,12,00,23,00
8 Hoxton Square,London,GB,3,12,00,23,00
8 Hoxton Square,London,GB,4,12,00,23,00
8 Hoxton Square,London,GB,5,10,00,23,00
8 Hoxton Square,London,GB,6,10,00,17,00
800 Degrees,Las Vegas,US,0,11,00,02,00
800 Degrees,Las Vegas,US,1,11,00,02,00
800 Degrees,Las Vegas,US,2,11,00,02,00
800 Degrees,Las Vegas,US,3,11,00,02,00
800 Degrees,Las Vegas,US,4,11,00,02,00
800 Degrees,Las Vegas,US,5,11,00,02,00
800 Degrees,Las Vegas,US,6,11,00,02,00
888 Chinese Restaurant,Houston,US,0,10,00,23,00
888 Chinese Restaurant,Houston,US,1,10,00,23,00
888 Chinese Restaurant,Houston,US,2,10,00,23,00
888 Chinese Restaurant,Houston,US,3,10,00,23,00
888 Chinese Restaurant,Houston,US,4,10,00,23,00
888 Chinese Restaurant,Houston,US,5,11,00,00,00
888 Chinese Restaurant,Houston,US,6,11,00,00,00
8Bit,Melbourne,AU,0,11,00,23,00
8Bit,Melbourne,AU,1,11,00,23,00
8Bit,Melbourne,AU,2,11,00,23,00
8Bit,Melbourne,AU,3,11,00,23,00
8Bit,Melbourne,AU,4,11,00,23,00
8Bit,Melbourne,AU,5,11,00,23,00
8Bit,Melbourne,AU,6,11,00,23,00
8Elements Perfect Indian Cuisine,San Jose,US,0,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,US,1,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,US,2,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,US,3,11,30,22,00
8Elements Perfect Indian Cuisine,San Jose,US,4,11,30,22,30
8Elements Perfect Indian Cuisine,San Jose,US,5,11,30,22,30
8Elements Perfect Indian Cuisine,San Jose,US,6,11,30,22,00
8oz Burger & Co,Seattle,US,0,11,30,23,00
8oz Burger & Co,Seattle,US,1,11,30,23,00
8oz Burger & Co,Seattle,US,2,11,30,23,00
8oz Burger & Co,Seattle,US,3,11,30,23,00
8oz Burger & Co,Seattle,US,4,11,30,00,00
8oz Burger & Co,Seattle,US,5,11,30,00,00
8oz Burger & Co,Seattle,US,6,11,30,22,00
90 Miles Cuban Café,Chicago,US,0,08,00,21,00
90 Miles Cuban Café,Chicago,US,1,08,00,21,00
90 Miles Cuban Café,Chicago,US,2,08,00,21,00
90 Miles Cuban Café,Chicago,US,3,08,00,21,00
90 Miles Cuban Café,Chicago,US,4,08,00,21,00
90 Miles Cuban Café,Chicago,US,5,08,00,21,00
90 Miles Cuban Café,Chicago,US,6,08,00,21,00
90 Miles Cuban Café,Chicago,US,0,10,00,22,00
90 Miles Cuban Café,Chicago,US,1,10,00,22,00
90 Miles Cuban Café,Chicago,US,2,10,00,22,00
90 Miles Cuban Café,Chicago,US,3,10,00,22,00
90 Miles Cuban Café,Chicago,US,4,10,00,23,00
90 Miles Cuban Café,Chicago,US,5,10,00,23,00
90 Miles Cuban Café,Chicago,US,6,10,00,22,00
90 Secondi,Melbourne,AU,0,07,30,17,00
90 Secondi,Melbourne,AU,1,07,30,17,00
90 Secondi,Melbourne,AU,2,07,30,17,00
90 Secondi,Melbourne,AU,3,07,30,00,00
90 Secondi,Melbourne,AU,4,07,30,00,00
90 Secondi,Melbourne,AU,5,18,00,00,00
A 2nd Cup,Houston,US,0,07,00,22,00
A 2nd Cup,Houston,US,1,07,00,22,00
A 2nd Cup,Houston,US,2,07,00,22,00
A 2nd Cup,Houston,US,3,07,00,22,00
A 2nd Cup,Houston,US,4,07,00,22,00
A 2nd Cup,Houston,US,5,07,00,22,00
A 2nd Cup,Houston,US,6,07,00,17,00
A Baked Joint,Washington,US,0,07,00,20,00
A Baked Joint,Washington,US,1,07,00,21,00
A Baked Joint,Washington,US,2,07,00,20,00
A Baked Joint,Washington,US,3,07,00,20,00
A Baked Joint,Washington,US,4,07,00,21,00
A Baked Joint,Washington,US,5,08,00,20,00
A Baked Joint,Washington,US,6,08,00,20,00
A Bite of Wyoming,San Jose,US,0,05,30,14,00
A Bite of Wyoming,San Jose,US,1,05,30,14,00
A Bite of Wyoming,San Jose,US,2,05,30,14,00
A Bite of Wyoming,San Jose,US,3,05,30,14,00
A Bite of Wyoming,San Jose,US,4,05,30,14,00
A Bite of Wyoming,San Jose,US,5,06,00,14,00
A Bite of Wyoming,San Jose,US,6,07,00,14,00
A Fish Called Inglewood,Inglewood,AU,1,17,00,00,00
A Fish Called Inglewood,Inglewood,AU,2,17,00,00,00
A Fish Called Inglewood,Inglewood,AU,3,17,00,00,00
A Fish Called Inglewood,Inglewood,AU,4,17,00,00,00
A Fish Called Inglewood,Inglewood,AU,5,17,00,00,00
A Fish Called Inglewood,Inglewood,AU,6,17,00,00,00
