MONTH,MANHATTAN,NYC,PERCENTAGE
Jan,3178,18101,0.17557041047455943
Feb,3195,15985,0.19987488270253362
Mar,3479,18471,0.18834930431487196
Apr,3540,18331,0.19311548742567236
May,3432,20052,0.17115499700777978
Jun,2956,19433,0.15211238614727526
Jul,3055,19867,0.15377258770825994
Aug,2844,19678,0.14452688281329404
Sep,2744,19492,0.14077570285245228
Oct,2831,19666,0.14395403234007934
Nov,2838,19315,0.14693243593062386
Dec,2634,19214,0.13708754033517226
Total,36726,227605,0.1613584938819446
